Type,Priority,Content,File,Line
Unchecked Task,medium,"**Day 1-2: Performance Optimization**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",174
Unchecked Task,medium,"**Day 3-4: Animations and Transitions**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",179
Unchecked Task,medium,"**Day 5: UI Polish**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",185
Unchecked Task,medium,"**Day 1-2: Unit Testing**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",195
Unchecked Task,medium,"**Day 3-4: Integration Testing**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",200
Unchecked Task,medium,"**Day 5: User Testing**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",206
Unchecked Task,medium,"**Day 1-2: CI/CD Setup**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",214
Unchecked Task,medium,"**Day 3-4: Store Preparation**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",219
Unchecked Task,medium,"**Day 5: Release**","docs/_archive/MOBILE_APP_IMPLEMENTATION_PLAN.md",225
Unchecked Task,medium,"Create notification template tables","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",222
Unchecked Task,medium,"Build CRUD API endpoints","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",223
Unchecked Task,medium,"Create template variable system","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",224
Unchecked Task,medium,"Implement timing configuration","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",225
Unchecked Task,medium,"List view with filtering","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",228
Unchecked Task,medium,"Edit modal for templates","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",229
Unchecked Task,medium,"Enable/disable toggles","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",230
Unchecked Task,medium,"Channel configuration","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",231
Unchecked Task,medium,"Template preview system","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",234
Unchecked Task,medium,"Test send functionality","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",235
Unchecked Task,medium,"Bulk operations","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",236
Unchecked Task,medium,"Variable validation","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",237
Unchecked Task,medium,"Connect to existing notification system","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",240
Unchecked Task,medium,"Migration of current notifications to templates","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",241
Unchecked Task,medium,"Analytics dashboard","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",242
Unchecked Task,medium,"Performance optimization","docs/_archive/NOTIFICATION_ADMIN_PLAN.md",243
Unchecked Task,medium,"Database schema setup","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1008
Unchecked Task,medium,"FCM project creation and configuration","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1009
Unchecked Task,medium,"Basic notification service class","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1010
Unchecked Task,medium,"Web push implementation","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1011
Unchecked Task,medium,"Central notification service","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1014
Unchecked Task,medium,"Email integration (SendGrid)","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1015
Unchecked Task,medium,"Task scheduler integration","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1016
Unchecked Task,medium,"Notification templates","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1017
Unchecked Task,medium,"Preference management UI","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1020
Unchecked Task,medium,"In-app notification center","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1021
Unchecked Task,medium,"Test notification system","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1022
Unchecked Task,medium,"Admin dashboard","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1023
Unchecked Task,medium,"React Native integration","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1026
Unchecked Task,medium,"iOS specific features","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1027
Unchecked Task,medium,"Android specific features","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1028
Unchecked Task,medium,"Analytics and monitoring","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1029
Unchecked Task,medium,"Documentation","docs/_archive/Plans_Notifications/NOTIFICATION_SYSTEM_PLAN.md",1030
Unchecked Task,medium,"Remove MilestoneNotifications from timeline view","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",56
Unchecked Task,medium,"Move milestone notifications to notification store","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",57
Unchecked Task,medium,"Remove all test notification pages","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",58
Unchecked Task,medium,"Create development-only test data generator","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",59
Unchecked Task,medium,"Standardize browser notification display","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",62
Unchecked Task,medium,"Add auto-dismiss after 5-10 seconds","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",63
Unchecked Task,medium,"Ensure all notification types trigger browser alerts","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",64
Unchecked Task,medium,"Add click handlers to open notifications page","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",65
Unchecked Task,medium,"Define standard notification templates","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",68
Unchecked Task,medium,"Create notification factory functions","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",69
Unchecked Task,medium,"Implement priority-based display logic","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",70
Unchecked Task,medium,"Add notification grouping/batching","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",71
Unchecked Task,medium,"Create single dev-only notification generator","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",74
Unchecked Task,medium,"Add to admin panel (dev mode only)","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",75
Unchecked Task,medium,"Include all notification types/categories","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",76
Unchecked Task,medium,"Add clear all notifications option","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",77
NOTE,low,"s","docs/_archive/Plans_Notifications/NOTIFICATION_UNIFICATION_PLAN.md",224
Unchecked Task,medium,"Appear as thin red banners at top of each day","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",28
Unchecked Task,medium,"No complete button visible","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",29
Unchecked Task,medium,"Red warning icon displayed","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",30
Unchecked Task,medium,"""X more days"" shows for multi-day restrictions","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",31
Unchecked Task,medium,"Modal shows red-themed details","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",32
Unchecked Task,medium,"Appear as full cards below restrictions","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",35
Unchecked Task,medium,"Complete button is functional","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",36
Unchecked Task,medium,"""Day X of Y"" shows for repeated activities","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",37
Unchecked Task,medium,"Normal modal styling","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",38
Unchecked Task,medium,"""No Showering"" appears on Days 1-3","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",41
Unchecked Task,medium,"""No Baths or Swimming"" appears on Days 1-90","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",42
Unchecked Task,medium,"""No Weight Bearing"" appears on Days 1-14","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",43
Unchecked Task,medium,"""No Driving"" appears on Days 1-28","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",44
Unchecked Task,medium,"""Pain Medication"" appears on Days 1-7","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",45
Unchecked Task,medium,"Each instance can be completed independently","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",46
Unchecked Task,medium,"Timeline shows full 60 days for Ankle Surgery","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",49
Unchecked Task,medium,"Tasks properly grouped by day","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",50
Unchecked Task,medium,"SuperAdmin test mode works with all procedures","docs/_archive/Plans_Notifications/VISUAL_IMPROVEMENTS_TEST_CHECKLIST.md",51
TODO Section,medium,"- [ ] Update BottomNavigation component with new visual design
- [ ] Add ""Procedure Dashboard"" button/link in bottom nav
- [ ] Keep existing doctor/provider info display
- [ ] Ensure mobile-responsive design
- [ ] Add navigation handlers for new pages","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",10
Unchecked Task,medium,"Update BottomNavigation component with new visual design","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",11
Unchecked Task,medium,"Add ""Procedure Dashboard"" button/link in bottom nav","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",12
Unchecked Task,medium,"Keep existing doctor/provider info display","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",13
Unchecked Task,medium,"Ensure mobile-responsive design","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",14
Unchecked Task,medium,"Add navigation handlers for new pages","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",15
Unchecked Task,medium,"Test navigation flow between all pages","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",153
Unchecked Task,medium,"Verify data loading and calculations","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",154
Unchecked Task,medium,"Test mobile responsiveness","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",155
Unchecked Task,medium,"Ensure accessibility standards","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",156
Unchecked Task,medium,"Performance optimization","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",157
Unchecked Task,medium,"Add loading states","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",160
Unchecked Task,medium,"Add error handling","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",161
Unchecked Task,medium,"Smooth animations","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",162
Unchecked Task,medium,"Consistent styling with existing UI","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",163
NOTE,low,"s","docs/_archive/PROCEDURE_DASHBOARD_PLAN.md",180
Unchecked Task,medium,"Export tasks as PDF/CSV","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",76
Unchecked Task,medium,"Edit tasks directly from detail view","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",78
Unchecked Task,medium,"Add custom tasks per procedure","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",79
Unchecked Task,medium,"Clone procedure with modifications","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",80
Unchecked Task,medium,"Print-friendly version","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",81
Unchecked Task,medium,"Share with healthcare providers","docs/_archive/PROCEDURE_DETAIL_FEATURE.md",82
Unchecked Task,medium,"Provider CRUD operations work","docs/_archive/PROVIDER_PROCEDURE_IMPLEMENTATION_GUIDE.md",205
Unchecked Task,medium,"Procedures link correctly to providers","docs/_archive/PROVIDER_PROCEDURE_IMPLEMENTATION_GUIDE.md",206
Unchecked Task,medium,"Data persists in localStorage","docs/_archive/PROVIDER_PROCEDURE_IMPLEMENTATION_GUIDE.md",207
Unchecked Task,medium,"Admin interface accessible","docs/_archive/PROVIDER_PROCEDURE_IMPLEMENTATION_GUIDE.md",208
Unchecked Task,medium,"Existing functionality unchanged","docs/_archive/PROVIDER_PROCEDURE_IMPLEMENTATION_GUIDE.md",209
Unchecked Task,medium,"Extend CareTask TypeScript interface with ptMetadata","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",65
Unchecked Task,medium,"Add PT-specific task type: `TaskType.PHYSICAL_THERAPY`","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",66
Unchecked Task,medium,"Update database schema for PT fields","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",67
Unchecked Task,medium,"Create PTExerciseCard component","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",68
Unchecked Task,medium,"Implement PTImageModal for step-by-step viewing","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",69
Unchecked Task,medium,"Add 2 ankle surgery PT exercises:","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",72
Unchecked Task,medium,"Source placeholder illustrations","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",83
Unchecked Task,medium,"Add exercises to ankle surgery procedure","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",85
Unchecked Task,medium,"Integrate PT tasks into timeline at appropriate weeks","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",88
Unchecked Task,medium,"Add completion tracking with notes","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",89
Unchecked Task,medium,"Test full flow from timeline to image modal","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",90
Unchecked Task,medium,"Add loading states and error handling","docs/_archive/PT_ACTIVITIES_IMPLEMENTATION_PLAN.md",91
Unchecked Task,medium,"Approve plan and pilot exercises","docs/_archive/PT_ACTIVITIES_QUICK_START.md",62
Unchecked Task,medium,"Source/create 7 placeholder illustrations (3 for pumps, 4 for alphabet)","docs/_archive/PT_ACTIVITIES_QUICK_START.md",63
Unchecked Task,medium,"Begin implementation with TypeScript interfaces","docs/_archive/PT_ACTIVITIES_QUICK_START.md",64
NOTE,low,"s","docs/_archive/PT_ACTIVITIES_QUICK_START.md",66
Unchecked Task,medium,"Initialize Expo project with TypeScript","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",147
Unchecked Task,medium,"Setup monorepo with yarn/pnpm workspaces","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",148
Unchecked Task,medium,"Extract shared packages from web app","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",149
Unchecked Task,medium,"Implement bottom tab navigation","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",150
Unchecked Task,medium,"Setup NativeWind for styling","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",151
Unchecked Task,medium,"Port Zustand stores with AsyncStorage","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",154
Unchecked Task,medium,"Setup React Query + shared API client","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",155
Unchecked Task,medium,"Implement core screens:","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",156
Unchecked Task,medium,"Home/Timeline view","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",157
Unchecked Task,medium,"Tasks list and detail","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",158
Unchecked Task,medium,"Profile management","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",159
Unchecked Task,medium,"Notifications","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",160
Unchecked Task,medium,"Implement design system with NativeWind","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",161
Unchecked Task,medium,"Push notifications (local and remote)","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",164
Unchecked Task,medium,"Offline support with enhanced caching","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",165
Unchecked Task,medium,"Platform-specific features:","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",166
Unchecked Task,medium,"Biometric authentication","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",167
Unchecked Task,medium,"Health app integration (iOS/Android)","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",168
Unchecked Task,medium,"Performance optimizations:","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",169
Unchecked Task,medium,"List virtualization","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",170
Unchecked Task,medium,"Image optimization","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",171
Unchecked Task,medium,"Animation performance","docs/_archive/REACT_NATIVE_IMPLEMENTATION_PLAN.md",172
Unchecked Task,medium,"Create component file","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",147
Unchecked Task,medium,"Implement auto-expanding textarea","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",148
Unchecked Task,medium,"Add character counter","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",149
Unchecked Task,medium,"Handle save/cancel/escape keyboard shortcuts","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",150
Unchecked Task,medium,"Add loading/saving states","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",151
Unchecked Task,medium,"Style with Tailwind classes","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",152
Unchecked Task,medium,"Add editing state management","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",155
Unchecked Task,medium,"Wire up click handler for notes section","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",156
Unchecked Task,medium,"Display existing notes","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",157
Unchecked Task,medium,"Add edit icon on hover","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",158
Unchecked Task,medium,"Handle disabled state for completed tasks","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",159
Unchecked Task,medium,"Add updateTaskNotes function","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",162
Unchecked Task,medium,"Ensure batch sync includes notes","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",163
Unchecked Task,medium,"Add optimistic updates","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",164
Unchecked Task,medium,"Implement error recovery","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",165
Unchecked Task,medium,"Add note indicator icon","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",168
Unchecked Task,medium,"Implement save animation","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",169
Unchecked Task,medium,"Add timestamp display","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",170
Unchecked Task,medium,"Style different note types","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",171
Unchecked Task,medium,"Test on mobile devices","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",174
Unchecked Task,medium,"Adjust touch targets","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",175
Unchecked Task,medium,"Fix keyboard issues","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",176
Unchecked Task,medium,"Add confirmation dialogs","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",177
Unchecked Task,medium,"Test error scenarios","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",180
Unchecked Task,medium,"Verify data persistence","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",181
Unchecked Task,medium,"Check performance impact","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",182
Unchecked Task,medium,"Test special characters","docs/_archive/TASK_NOTES_IMPLEMENTATION_PLAN.md",183
Unchecked Task,medium,"All 546 tests passing","docs/_archive/TEST_FIXES_PLAN.md",91
Unchecked Task,medium,"No flaky tests (run 5 times consecutively)","docs/_archive/TEST_FIXES_PLAN.md",92
Unchecked Task,medium,"Test execution time under 10 seconds","docs/_archive/TEST_FIXES_PLAN.md",93
Unchecked Task,medium,"Clear error messages when tests fail","docs/_archive/TEST_FIXES_PLAN.md",94
NOTE,low,"s","docs/_archive/TEST_FIXES_PLAN.md",102
NOTE,low,"**: Current implementation is actually more feature-rich","docs/_archive/TIMELINE_VIEW_IMPROVEMENTS.md",58
Unchecked Task,medium,"Navigation shows all items in blue","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",123
Unchecked Task,medium,"Active nav item is bold (not different color)","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",124
Unchecked Task,medium,"Care activities show green hearts (not orange)","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",125
Unchecked Task,medium,"Week header has semi-transparent background when sticky","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",126
Unchecked Task,medium,"Only 2 week gradient patterns (odd/even)","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",127
Unchecked Task,medium,"All expandable sections use arrow icons","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",128
Unchecked Task,medium,"Restrictions modal title is left-aligned","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",129
Unchecked Task,medium,"Arrows are smaller and light gray","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",130
Unchecked Task,medium,"Task completion notification doesn't show ""X left""","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",131
NOTE,low,"s","docs/_archive/UI_CHANGES_EXECUTION_PLAN_2025_09_01.md",148
Unchecked Task,medium,"Create shared types package","docs/_archive/WEB_APP_REFACTORING_PLAN.md",663
Unchecked Task,medium,"Implement transformation layer","docs/_archive/WEB_APP_REFACTORING_PLAN.md",664
Unchecked Task,medium,"Add compatibility types","docs/_archive/WEB_APP_REFACTORING_PLAN.md",665
Unchecked Task,medium,"Update service layer","docs/_archive/WEB_APP_REFACTORING_PLAN.md",666
Unchecked Task,medium,"Update API endpoints","docs/_archive/WEB_APP_REFACTORING_PLAN.md",669
Unchecked Task,medium,"Add data validation","docs/_archive/WEB_APP_REFACTORING_PLAN.md",670
Unchecked Task,medium,"Implement migrations","docs/_archive/WEB_APP_REFACTORING_PLAN.md",671
Unchecked Task,medium,"Test data persistence","docs/_archive/WEB_APP_REFACTORING_PLAN.md",672
Unchecked Task,medium,"Refactor careStore","docs/_archive/WEB_APP_REFACTORING_PLAN.md",675
Unchecked Task,medium,"Create selectors","docs/_archive/WEB_APP_REFACTORING_PLAN.md",676
Unchecked Task,medium,"Update actions","docs/_archive/WEB_APP_REFACTORING_PLAN.md",677
Unchecked Task,medium,"Add sync mechanisms","docs/_archive/WEB_APP_REFACTORING_PLAN.md",678
Unchecked Task,medium,"Migrate display components","docs/_archive/WEB_APP_REFACTORING_PLAN.md",681
Unchecked Task,medium,"Update forms","docs/_archive/WEB_APP_REFACTORING_PLAN.md",682
Unchecked Task,medium,"Fix data flows","docs/_archive/WEB_APP_REFACTORING_PLAN.md",683
Unchecked Task,medium,"Handle edge cases","docs/_archive/WEB_APP_REFACTORING_PLAN.md",684
Unchecked Task,medium,"Comprehensive testing","docs/_archive/WEB_APP_REFACTORING_PLAN.md",687
Unchecked Task,medium,"Performance optimization","docs/_archive/WEB_APP_REFACTORING_PLAN.md",688
Unchecked Task,medium,"Remove old types","docs/_archive/WEB_APP_REFACTORING_PLAN.md",689
Unchecked Task,medium,"Documentation","docs/_archive/WEB_APP_REFACTORING_PLAN.md",690
Unchecked Task,medium,"Staging deployment","docs/_archive/WEB_APP_REFACTORING_PLAN.md",693
Unchecked Task,medium,"User acceptance testing","docs/_archive/WEB_APP_REFACTORING_PLAN.md",694
Unchecked Task,medium,"Production deployment","docs/_archive/WEB_APP_REFACTORING_PLAN.md",695
Unchecked Task,medium,"Monitor and fix issues","docs/_archive/WEB_APP_REFACTORING_PLAN.md",696
Unchecked Task,medium,"100% type coverage (no `any` types)","docs/_archive/WEB_APP_REFACTORING_PLAN.md",799
Unchecked Task,medium,"0 type-related runtime errors","docs/_archive/WEB_APP_REFACTORING_PLAN.md",800
Unchecked Task,medium,"<100ms transformation overhead","docs/_archive/WEB_APP_REFACTORING_PLAN.md",801
Unchecked Task,medium,"90%+ test coverage","docs/_archive/WEB_APP_REFACTORING_PLAN.md",802
Unchecked Task,medium,"Reduced development time for new features","docs/_archive/WEB_APP_REFACTORING_PLAN.md",805
Unchecked Task,medium,"Fewer bug reports related to data","docs/_archive/WEB_APP_REFACTORING_PLAN.md",806
Unchecked Task,medium,"Cleaner pull requests","docs/_archive/WEB_APP_REFACTORING_PLAN.md",807
Unchecked Task,medium,"Better code reviews","docs/_archive/WEB_APP_REFACTORING_PLAN.md",808
Unchecked Task,medium,"Page load time: <2s","docs/_archive/WEB_APP_REFACTORING_PLAN.md",811
Unchecked Task,medium,"Time to interactive: <3s","docs/_archive/WEB_APP_REFACTORING_PLAN.md",812
Unchecked Task,medium,"State update latency: <50ms","docs/_archive/WEB_APP_REFACTORING_PLAN.md",813
Unchecked Task,medium,"Memory usage: <100MB","docs/_archive/WEB_APP_REFACTORING_PLAN.md",814
Unchecked Task,medium,"Full database backup","docs/_archive/WEB_APP_REFACTORING_PLAN.md",912
Unchecked Task,medium,"localStorage backup","docs/_archive/WEB_APP_REFACTORING_PLAN.md",913
Unchecked Task,medium,"Document current types","docs/_archive/WEB_APP_REFACTORING_PLAN.md",914
Unchecked Task,medium,"Create rollback plan","docs/_archive/WEB_APP_REFACTORING_PLAN.md",915
Unchecked Task,medium,"Set up feature flags","docs/_archive/WEB_APP_REFACTORING_PLAN.md",916
Unchecked Task,medium,"Run type migration scripts","docs/_archive/WEB_APP_REFACTORING_PLAN.md",919
Unchecked Task,medium,"Update transformers","docs/_archive/WEB_APP_REFACTORING_PLAN.md",920
Unchecked Task,medium,"Test each component","docs/_archive/WEB_APP_REFACTORING_PLAN.md",921
Unchecked Task,medium,"Validate data integrity","docs/_archive/WEB_APP_REFACTORING_PLAN.md",922
Unchecked Task,medium,"Monitor error rates","docs/_archive/WEB_APP_REFACTORING_PLAN.md",923
Unchecked Task,medium,"Remove old types","docs/_archive/WEB_APP_REFACTORING_PLAN.md",926
Unchecked Task,medium,"Update documentation","docs/_archive/WEB_APP_REFACTORING_PLAN.md",927
Unchecked Task,medium,"Performance testing","docs/_archive/WEB_APP_REFACTORING_PLAN.md",928
Unchecked Task,medium,"Team training","docs/_archive/WEB_APP_REFACTORING_PLAN.md",929
Unchecked Task,medium,"Monitor for issues","docs/_archive/WEB_APP_REFACTORING_PLAN.md",930
Unchecked Task,medium,"First post-op visit (Day 10-14)","docs/analysis/ankle-surgery-page-improvement-analysis.md",162
